,Variable,Category,Wage_m,Wage_f,Wage_Avg,Wage_Diff,Sex,Count,Year
3,AGE,23-28,30015.489,32163.014,31089.252,-2147.525,Female,42984,2012
4,AGE,29-36,48466.182,50133.272,49299.727,-1667.09,Male,90446,2012
5,AGE,29-36,39451.596,41952.065,40701.83,-2500.469,Female,68167,2012
6,AGE,37-45,59375.794,59616.882,59496.338,-241.088,Male,112380,2012
7,AGE,37-45,45395.873,46295.82,45845.846,-899.947,Female,83771,2012
8,AGE,46-55,62189.618,61118.478,61654.048,1071.14,Male,140149,2012
9,AGE,46-55,46673.707,46066.317,46370.012,607.39,Female,115502,2012
10,AGE,56-70,62047.641,57856.505,59952.073,4191.136,Male,102710,2012
11,AGE,56-70,47655.784,45196.347,46426.066,2459.437,Female,83904,2012
0,DIV,East North Central,53016.518,52846.528,52931.523,169.99,Male,77379,2012
1,DIV,East North Central,40568.85,40910.63,40739.74,-341.78,Female,60082,2012
2,DIV,East South Central,50496.08,49202.89,49849.485,1293.19,Male,28505,2012
3,DIV,East South Central,38005.471,37478.131,37741.801,527.34,Female,23027,2012
4,DIV,Middle Atlantic,57798.635,58013.576,57906.106,-214.941,Male,69561,2012
5,DIV,Middle Atlantic,44997.023,46963.298,45980.16,-1966.275,Female,56590,2012
6,DIV,Mountain,53985.506,52660.46,53322.983,1325.046,Male,37049,2012
7,DIV,Mountain,42546.614,41594.002,42070.308,952.612,Female,27095,2012
8,DIV,New England,62981.184,62047.905,62514.544,933.279,Male,25224,2012
9,DIV,New England,49275.626,49795.545,49535.586,-519.919,Female,20692,2012
10,DIV,Pacific,57082.683,58356.628,57719.655,-1273.945,Male,78665,2012
11,DIV,Pacific,46307.61,47961.173,47134.392,-1653.563,Female,58101,2012
12,DIV,South Atlantic,55966.396,54610.135,55288.266,1356.261,Male,99462,2012
13,DIV,South Atlantic,43871.374,43380.937,43626.156,490.437,Female,82623,2012
14,DIV,West North Central,50484.525,50469.305,50476.915,15.22,Male,36775,2012
15,DIV,West North Central,38490.102,38395.426,38442.764,94.676,Female,28501,2012
16,DIV,West South Central,53705.923,52485.1,53095.512,1220.823,Male,60749,2012
17,DIV,West South Central,39772.965,39509.923,39641.444,263.042,Female,45746,2012
0,SEX,Male,55885.617,55739.535,55812.576,146.082,Male,528594,2013
1,SEX,Female,43361.864,44142.531,43752.198,-780.667,Female,413077,2013
0,EDU,B.S. Degree,69979.362,65062.454,67520.908,4916.908,Male,118156,2013
1,EDU,B.S. Degree,54592.965,51502.315,53047.64,3090.65,Female,104284,2013
2,EDU,Highschool,40336.224,41080.346,40708.285,-744.122,Male,137375,2013
3,EDU,Highschool,30455.313,31109.84,30782.576,-654.527,Female,85027,2013
4,EDU,M.S. Degree,85239.023,74130.066,79684.544,11108.957,Male,47289,2013
5,EDU,M.S. Degree,68381.218,62546.356,65463.787,5834.862,Female,52293,2013
6,EDU,No Highschool,32023.108,31291.553,31657.33,731.555,Male,42986,2013
7,EDU,No Highschool,24697.711,25480.062,25088.886,-782.351,Female,18546,2013
8,EDU,PhD,109961.129,104562.244,107261.687,5398.885,Male,24003,2013
9,EDU,PhD,84994.264,83254.871,84124.568,1739.393,Female,16303,2013
10,EDU,Some College,48394.502,48200.267,48297.384,194.235,Male,158785,2013
11,EDU,Some College,37478.879,37457.742,37468.31,21.137,Female,136624,2013
0,JOB,Art,61647.683,55245.375,58446.529,6402.308,Male,38778,2013
1,JOB,Art,51764.887,46977.083,49370.985,4787.804,Female,67960,2013
2,JOB,Business,79977.303,76786.62,78381.962,3190.683,Male,95314,2013
3,JOB,Business,62152.906,60104.722,61128.814,2048.184,Female,77183,2013
4,JOB,Healthcare,95900.893,68249.042,82074.968,27651.851,Male,15429,2013
5,JOB,Healthcare,73661.425,58497.538,66079.481,15163.887,Female,42571,2013
6,JOB,Maintenance,42952.528,43078.892,43015.71,-126.364,Male,83599,2013
7,JOB,Maintenance,33860.821,34742.733,34301.777,-881.912,Female,3276,2013
8,JOB,Military,43199.032,43399.975,43299.504,-200.943,Male,4227,2013
9,JOB,Military,34508.143,35552.337,35030.24,-1044.194,Female,505,2013
10,JOB,Production,41112.495,40167.402,40639.948,945.093,Male,50103,2013
11,JOB,Production,29997.14,29622.384,29809.762,374.756,Female,16511,2013
12,JOB,Sales,50323.867,47907.476,49115.672,2416.391,Male,84271,2013
13,JOB,Sales,37016.67,35682.608,36349.639,1334.062,Female,129807,2013
14,JOB,Science,77537.743,77904.537,77721.14,-366.794,Male,50908,2013
15,JOB,Science,63433.585,64151.548,63792.566,-717.963,Female,16335,2013
16,JOB,Services,37180.099,35530.698,36355.398,1649.401,Male,57977,2013
17,JOB,Services,27699.476,26997.459,27348.468,702.017,Female,51850,2013
18,JOB,Transport,38981.443,39325.052,39153.248,-343.609,Male,47988,2013
19,JOB,Transport,29564.34,29931.909,29748.124,-367.569,Female,7079,2013
0,RACE,Asian,65702.73,61627.239,63664.984,4075.491,Male,27869,2013
1,RACE,Asian,56303.493,53547.424,54925.458,2756.069,Female,22886,2013
2,RACE,Black,43046.704,45246.576,44146.64,-2199.872,Male,38045,2013
3,RACE,Black,36631.354,39111.578,37871.466,-2480.224,Female,44269,2013
4,RACE,Hispanic,38981.053,42465.382,40723.218,-3484.329,Male,69669,2013
5,RACE,Hispanic,31342.318,35480.452,33411.385,-4138.134,Female,45495,2013
6,RACE,Mixed,50484.429,50923.187,50703.808,-438.758,Male,8053,2013
7,RACE,Mixed,41820.87,42844.898,42332.884,-1024.028,Female,6755,2013
8,RACE,Native,43120.183,44757.446,43938.814,-1637.263,Male,3997,2013
9,RACE,Native,35247.56,36555.949,35901.754,-1308.389,Female,3718,2013
10,RACE,White,59789.183,59212.638,59500.91,576.545,Male,380961,2013
11,RACE,White,45403.082,45654.939,45529.011,-251.857,Female,289954,2013
0,AGE,18-22,23750.824,23759.816,23755.32,-8.992,Male,14889,2013
1,AGE,18-22,21801.649,21847.865,21824.757,-46.216,Female,8517,2013
2,AGE,23-28,35228.413,36069.115,35648.764,-840.702,Male,55847,2013
3,AGE,23-28,29865.544,32370.354,31117.949,-2504.81,Female,45108,2013
4,AGE,29-36,49269.154,51151.28,50210.217,-1882.126,Male,95093,2013
5,AGE,29-36,39880.561,42715.969,41298.265,-2835.408,Female,71388,2013
6,AGE,37-45,60127.029,60672.57,60399.8,-545.541,Male,113906,2013
7,AGE,37-45,46017.459,47395.396,46706.428,-1377.937,Female,84763,2013
8,AGE,46-55,63277.734,62586.717,62932.226,691.017,Male,140783,2013
9,AGE,46-55,47714.283,47259.664,47486.974,454.619,Female,115129,2013
10,AGE,56-70,62709.242,58923.798,60816.52,3785.444,Male,108076,2013
11,AGE,56-70,47900.816,46276.401,47088.608,1624.415,Female,88172,2013
0,DIV,East North Central,54324.176,54085.319,54204.748,238.857,Male,80551,2013
1,DIV,East North Central,41043.178,41788.07,41415.624,-744.892,Female,61806,2013
2,DIV,East South Central,51430.311,51184.129,51307.22,246.182,Male,29659,2013
3,DIV,East South Central,38539.816,38358.084,38448.95,181.732,Female,23512,2013
4,DIV,Middle Atlantic,59509.836,59680.939,59595.388,-171.103,Male,71190,2013
5,DIV,Middle Atlantic,47109.03,48365.399,47737.214,-1256.369,Female,57929,2013
6,DIV,Mountain,54657.849,53741.938,54199.894,915.911,Male,37868,2013
7,DIV,Mountain,42484.383,42172.772,42328.578,311.611,Female,27409,2013
8,DIV,New England,63811.278,63369.731,63590.504,441.547,Male,25619,2013
9,DIV,New England,49743.826,50791.003,50267.414,-1047.177,Female,21019,2013
10,DIV,Pacific,58005.028,58800.177,58402.602,-795.149,Male,81592,2013
11,DIV,Pacific,47067.575,48871.649,47969.612,-1804.074,Female,60149,2013
12,DIV,South Atlantic,56644.454,55712.079,56178.266,932.375,Male,102142,2013
13,DIV,South Atlantic,43920.053,44227.691,44073.872,-307.638,Female,84504,2013
14,DIV,West North Central,51403.33,51861.57,51632.45,-458.24,Male,37918,2013
15,DIV,West North Central,38802.183,39370.873,39086.528,-568.69,Female,29457,2013
16,DIV,West South Central,52064.427,51676.633,51870.53,387.794,Male,62055,2013
17,DIV,West South Central,39273.248,39914.603,39593.926,-641.355,Female,47292,2013
0,SEX,Male,56053.684,56259.717,56156.7,-206.033,Male,533636,2014
1,SEX,Female,43825.559,44811.009,44318.284,-985.45,Female,416644,2014
0,EDU,B.S. Degree,70272.425,65473.976,67873.2,4798.449,Male,119250,2014
1,EDU,B.S. Degree,55578.207,52493.144,54035.676,3085.063,Female,106510,2014
2,EDU,Highschool,40666.019,41126.338,40896.178,-460.319,Male,139426,2014
3,EDU,Highschool,30673.906,31257.151,30965.528,-583.245,Female,84248,2014
4,EDU,M.S. Degree,85594.751,75123.485,80359.118,10471.266,Male,47423,2014
5,EDU,M.S. Degree,69631.097,63542.436,66586.766,6088.661,Female,53470,2014
6,EDU,No Highschool,32596.743,31702.193,32149.468,894.55,Male,43178,2014
7,EDU,No Highschool,25640.94,25764.345,25702.642,-123.405,Female,18235,2014
8,EDU,PhD,108149.896,102879.672,105514.784,5270.224,Male,23522,2014
9,EDU,PhD,86627.606,84399.653,85513.63,2227.953,Female,16740,2014
10,EDU,Some College,48818.697,48636.728,48727.712,181.969,Male,160837,2014
11,EDU,Some College,37525.943,37583.863,37554.903,-57.92,Female,137441,2014
0,JOB,Art,61617.678,55918.153,58767.916,5699.525,Male,38796,2014
1,JOB,Art,52223.7,47503.085,49863.392,4720.615,Female,69408,2014
2,JOB,Business,79943.306,77190.634,78566.97,2752.672,Male,97050,2014
3,JOB,Business,62265.012,60610.103,61437.558,1654.909,Female,79103,2014
4,JOB,Healthcare,92081.724,67706.572,79894.148,24375.152,Male,15994,2014
5,JOB,Healthcare,73150.988,58191.184,65671.086,14959.804,Female,45196,2014
6,JOB,Maintenance,43141.64,42837.898,42989.769,303.742,Male,84739,2014
7,JOB,Maintenance,34460.675,35043.996,34752.336,-583.321,Female,3257,2014
8,JOB,Military,43293.186,43512.905,43403.046,-219.719,Male,3887,2014
9,JOB,Military,33398.267,34166.748,33782.508,-768.481,Female,477,2014
10,JOB,Production,41521.002,40687.597,41104.3,833.405,Male,50783,2014
11,JOB,Production,30307.994,29921.394,30114.694,386.6,Female,16548,2014
12,JOB,Sales,50756.358,48213.673,49485.016,2542.685,Male,83725,2014
13,JOB,Sales,37901.042,36441.944,37171.493,1459.098,Female,127050,2014
14,JOB,Science,77995.293,78240.627,78117.96,-245.334,Male,51522,2014
15,JOB,Science,64778.998,65233.731,65006.364,-454.733,Female,16744,2014
16,JOB,Services,37143.986,35580.989,36362.488,1562.997,Male,58135,2014
17,JOB,Services,27536.892,26827.12,27182.006,709.772,Female,51340,2014
18,JOB,Transport,39393.024,39504.853,39448.939,-111.829,Male,49005,2014
19,JOB,Transport,29532.707,29729.043,29630.875,-196.336,Female,7521,2014
0,RACE,Asian,66276.223,61976.482,64126.352,4299.741,Male,28478,2014
1,RACE,Asian,57051.702,54200.864,55626.283,2850.838,Female,23774,2014
2,RACE,Black,42710.514,45263.479,43986.996,-2552.965,Male,39039,2014
3,RACE,Black,36728.947,39442.59,38085.768,-2713.643,Female,45348,2014
4,RACE,Hispanic,39697.314,43472.312,41584.813,-3774.998,Male,72507,2014
5,RACE,Hispanic,31749.724,35767.52,33758.622,-4017.796,Female,47860,2014
6,RACE,Mixed,51322.73,51449.482,51386.106,-126.752,Male,8048,2014
7,RACE,Mixed,42683.389,43693.559,43188.474,-1010.17,Female,6953,2014
8,RACE,Native,42065.797,43815.155,42940.476,-1749.358,Male,4189,2014
9,RACE,Native,35766.84,37011.526,36389.183,-1244.686,Female,3815,2014
10,RACE,White,60019.355,59913.907,59966.631,105.448,Male,381375,2014
11,RACE,White,45972.85,46509.067,46240.958,-536.217,Female,288894,2014
0,AGE,18-22,24349.536,24336.903,24343.22,12.633,Male,15485,2014
1,AGE,18-22,21748.36,21959.081,21853.72,-210.721,Female,8995,2014
2,AGE,23-28,35488.128,36316.683,35902.405,-828.555,Male,57532,2014
3,AGE,23-28,30752.26,32756.61,31754.435,-2004.35,Female,46324,2014
4,AGE,29-36,49286.452,51104.993,50195.722,-1818.541,Male,96963,2014
5,AGE,29-36,40396.429,43232.163,41814.296,-2835.734,Female,72497,2014
6,AGE,37-45,60576.349,61700.414,61138.382,-1124.065,Male,112782,2014
7,AGE,37-45,46955.743,48448.397,47702.07,-1492.654,Female,84865,2014
8,AGE,46-55,63438.218,63073.33,63255.774,364.888,Male,139098,2014
9,AGE,46-55,47787.743,47967.414,47877.578,-179.671,Female,113085,2014
10,AGE,56-70,63148.575,60137.955,61643.265,3010.62,Male,111776,2014
11,AGE,56-70,48498.626,47152.54,47825.583,1346.086,Female,90878,2014
0,DIV,East North Central,54407.984,54476.751,54442.367,-68.767,Male,81023,2014
1,DIV,East North Central,41761.349,42466.374,42113.862,-705.025,Female,61896,2014
2,DIV,East South Central,51298.409,51094.558,51196.484,203.851,Male,29684,2014
3,DIV,East South Central,38147.334,38491.59,38319.462,-344.256,Female,23736,2014
4,DIV,Middle Atlantic,59000.511,59454.168,59227.34,-453.657,Male,70527,2014
5,DIV,Middle Atlantic,46857.141,49001.726,47929.434,-2144.585,Female,58398,2014
6,DIV,Mountain,54406.171,53905.803,54155.987,500.368,Male,38842,2014
7,DIV,Mountain,42871.424,42758.133,42814.778,113.291,Female,27784,2014
8,DIV,New England,65336.053,65333.411,65334.732,2.642,Male,25813,2014
9,DIV,New England,51161.372,52140.073,51650.722,-978.701,Female,21212,2014
10,DIV,Pacific,58033.456,59141.171,58587.314,-1107.715,Male,83784,2014
11,DIV,Pacific,47445.393,49523.15,48484.272,-2077.757,Female,61048,2014
12,DIV,South Atlantic,57076.161,56692.193,56884.177,383.968,Male,103148,2014
13,DIV,South Atlantic,44654.306,44878.123,44766.214,-223.817,Female,85433,2014
14,DIV,West North Central,51508.127,51907.863,51707.995,-399.736,Male,37802,2014
15,DIV,West North Central,39167.162,39943.092,39555.127,-775.93,Female,29537,2014
16,DIV,West South Central,52745.519,52793.855,52769.687,-48.336,Male,63013,2014
17,DIV,West South Central,39969.568,40658.654,40314.111,-689.086,Female,47600,2014
0,SEX,Male,56867.978,57228.788,57048.383,-360.81,Male,544435,2015
1,SEX,Female,44572.022,45677.743,45124.882,-1105.721,Female,426097,2015
0,EDU,B.S. Degree,71059.537,66276.465,68668.001,4783.072,Male,122739,2015
1,EDU,B.S. Degree,55939.267,53208.181,54573.724,2731.086,Female,110534,2015
2,EDU,Highschool,41452.256,41682.561,41567.409,-230.305,Male,142566,2015
3,EDU,Highschool,31972.124,31928.67,31950.397,43.454,Female,85478,2015
4,EDU,M.S. Degree,87139.52,76722.291,81930.906,10417.229,Male,48599,2015
5,EDU,M.S. Degree,70410.752,64485.104,67447.928,5925.648,Female,55202,2015
6,EDU,No Highschool,33699.449,32663.129,33181.289,1036.32,Male,44198,2015
7,EDU,No Highschool,26282.764,26361.942,26322.353,-79.178,Female,18694,2015
8,EDU,PhD,108657.633,104260.72,106459.176,4396.913,Male,23435,2015
9,EDU,PhD,87295.925,85606.28,86451.103,1689.645,Female,17491,2015
10,EDU,Some College,49470.989,49220.736,49345.862,250.253,Male,162898,2015
11,EDU,Some College,38141.559,38232.571,38187.065,-91.012,Female,138698,2015
0,JOB,Art,62570.52,56607.594,59589.057,5962.926,Male,38795,2015
1,JOB,Art,53076.986,48277.743,50677.364,4799.243,Female,70097,2015
2,JOB,Business,81012.915,78727.552,79870.234,2285.363,Male,99256,2015
3,JOB,Business,62895.548,61595.107,62245.328,1300.441,Female,82289,2015
4,JOB,Healthcare,90652.379,67993.952,79323.166,22658.427,Male,15694,2015
5,JOB,Healthcare,73588.753,59412.495,66500.624,14176.258,Female,46009,2015
6,JOB,Maintenance,43988.449,43731.321,43859.885,257.128,Male,88129,2015
7,JOB,Maintenance,35146.624,35636.101,35391.362,-489.477,Female,3464,2015
8,JOB,Military,43313.961,41916.91,42615.436,1397.051,Male,4011,2015
9,JOB,Military,34069.264,34219.07,34144.167,-149.806,Female,573,2015
10,JOB,Production,42213.062,41040.968,41627.015,1172.094,Male,51522,2015
11,JOB,Production,31104.411,30613.086,30858.748,491.325,Female,16902,2015
12,JOB,Sales,51105.023,49015.438,50060.231,2089.585,Male,85427,2015
13,JOB,Sales,38160.279,36929.69,37544.985,1230.589,Female,128994,2015
14,JOB,Science,79850.912,80605.286,80228.099,-754.374,Male,53240,2015
15,JOB,Science,66268.524,67402.173,66835.348,-1133.649,Female,17413,2015
16,JOB,Services,37831.349,36164.291,36997.82,1667.058,Male,57932,2015
17,JOB,Services,28191.585,27379.116,27785.35,812.469,Female,52825,2015
18,JOB,Transport,40370.2,40421.358,40395.779,-51.158,Male,50429,2015
19,JOB,Transport,30773.671,30906.613,30840.142,-132.942,Female,7531,2015
0,RACE,Asian,67793.06,64164.019,65978.54,3629.041,Male,29521,2015
1,RACE,Asian,58025.129,55792.825,56908.977,2232.304,Female,24494,2015
2,RACE,Black,43983.077,46349.412,45166.244,-2366.335,Male,39582,2015
3,RACE,Black,37749.476,39973.533,38861.504,-2224.057,Female,46002,2015
4,RACE,Hispanic,40385.523,44059.154,42222.338,-3673.631,Male,75913,2015
5,RACE,Hispanic,32229.946,36298.162,34264.054,-4068.216,Female,51036,2015
6,RACE,Mixed,52149.106,53095.19,52622.148,-946.084,Male,8825,2015
7,RACE,Mixed,43279.501,45081.995,44180.748,-1802.494,Female,7221,2015
8,RACE,Native,43285.299,44900.844,44093.072,-1615.545,Male,4167,2015
9,RACE,Native,36408.308,37595.397,37001.852,-1187.089,Female,3847,2015
10,RACE,White,60845.356,60908.558,60876.957,-63.202,Male,386427,2015
11,RACE,White,46785.246,47479.252,47132.249,-694.006,Female,293497,2015
0,AGE,18-22,24806.277,24473.177,24639.727,333.1,Male,16384,2015
1,AGE,18-22,22505.146,22109.755,22307.45,395.391,Female,9667,2015
2,AGE,23-28,36352.888,37183.372,36768.13,-830.484,Male,60051,2015
3,AGE,23-28,31286.776,33415.535,32351.156,-2128.759,Female,48642,2015
4,AGE,29-36,50596.726,52578.532,51587.629,-1981.806,Male,99862,2015
5,AGE,29-36,41076.858,44234.634,42655.746,-3157.776,Female,74906,2015
6,AGE,37-45,61530.247,62750.204,62140.226,-1219.957,Male,113491,2015
7,AGE,37-45,47957.903,49443.6,48700.752,-1485.697,Female,85398,2015
8,AGE,46-55,64349.532,64152.302,64250.917,197.23,Male,138643,2015
9,AGE,46-55,48773.104,48996.131,48884.618,-223.027,Female,113386,2015
10,AGE,56-70,63911.868,61304.139,62608.004,2607.729,Male,116004,2015
11,AGE,56-70,49241.28,48170.17,48705.725,1071.11,Female,94098,2015
0,DIV,East North Central,55967.777,56062.158,56014.968,-94.381,Male,83170,2015
1,DIV,East North Central,42551.915,43257.733,42904.824,-705.818,Female,62644,2015
2,DIV,East South Central,52602.257,51977.724,52289.99,624.533,Male,30407,2015
3,DIV,East South Central,40187.633,39534.369,39861.001,653.264,Female,24075,2015
4,DIV,Middle Atlantic,60139.768,60662.787,60401.278,-523.019,Male,71861,2015
5,DIV,Middle Atlantic,47663.234,49902.479,48782.856,-2239.245,Female,58992,2015
6,DIV,Mountain,55625.434,55066.516,55345.975,558.918,Male,39597,2015
7,DIV,Mountain,43508.012,43311.169,43409.591,196.843,Female,28695,2015
8,DIV,New England,67203.225,67459.765,67331.495,-256.54,Male,26303,2015
9,DIV,New England,52460.872,53738.955,53099.914,-1278.083,Female,21375,2015
10,DIV,Pacific,59664.106,60970.504,60317.305,-1306.398,Male,86314,2015
11,DIV,Pacific,48406.862,50775.881,49591.372,-2369.019,Female,63712,2015
12,DIV,South Atlantic,54930.73,55342.994,55136.862,-412.264,Male,103575,2015
13,DIV,South Atlantic,44207.611,45157.242,44682.426,-949.631,Female,87163,2015
14,DIV,West North Central,53049.524,54134.294,53591.909,-1084.77,Male,38712,2015
15,DIV,West North Central,41019.738,41312.719,41166.228,-292.981,Female,30302,2015
16,DIV,West South Central,54603.365,54380.364,54491.864,223.001,Male,64496,2015
17,DIV,West South Central,40821.117,41581.214,41201.166,-760.097,Female,49139,2015
0,SEX,Male,57628.382,58064.796,57846.589,-436.414,Male,550616,2016
1,SEX,Female,45688.42,46768.985,46228.702,-1080.565,Female,434239,2016
0,EDU,B.S. Degree,72032.358,67139.643,69586,4892.715,Male,126571,2016
1,EDU,B.S. Degree,57734.935,54491.62,56113.278,3243.315,Female,114479,2016
2,EDU,Highschool,41838.322,42010.902,41924.612,-172.58,Male,142130,2016
3,EDU,Highschool,32386.277,32403.159,32394.718,-16.882,Female,85126,2016
4,EDU,M.S. Degree,88324.138,77606.431,82965.285,10717.707,Male,50110,2016
5,EDU,M.S. Degree,71620.025,65780.797,68700.411,5839.228,Female,57837,2016
6,EDU,No Highschool,34329.268,33242.165,33785.716,1087.103,Male,44464,2016
7,EDU,No Highschool,26995.762,26790.509,26893.135,205.253,Female,18974,2016
8,EDU,PhD,105147.533,101922.523,103535.028,3225.01,Male,23184,2016
9,EDU,PhD,88444.047,86946.645,87695.346,1497.402,Female,17870,2016
10,EDU,Some College,50423.324,50095.991,50259.658,327.333,Male,164157,2016
11,EDU,Some College,39026.292,38911.608,38968.95,114.684,Female,139953,2016
0,JOB,Art,62792.766,57239.947,60016.356,5552.819,Male,39439,2016
1,JOB,Art,53097.566,48607.364,50852.465,4490.202,Female,72368,2016
2,JOB,Business,81286.294,79411.149,80348.722,1875.145,Male,101135,2016
3,JOB,Business,65089.74,63972.843,64531.292,1116.897,Female,84571,2016
4,JOB,Healthcare,85280.739,67831.943,76556.341,17448.796,Male,15728,2016
5,JOB,Healthcare,73385.582,60517.023,66951.302,12868.559,Female,47213,2016
6,JOB,Maintenance,44608.417,44308.083,44458.25,300.334,Male,88415,2016
7,JOB,Maintenance,36480.271,36803.686,36641.978,-323.415,Female,3478,2016
8,JOB,Military,44205.415,44847.766,44526.591,-642.351,Male,4067,2016
9,JOB,Military,33673.514,34582.651,34128.083,-909.137,Female,540,2016
10,JOB,Production,43269.877,42223.143,42746.51,1046.734,Male,50296,2016
11,JOB,Production,31617.328,31179.489,31398.408,437.839,Female,17023,2016
12,JOB,Sales,52338.94,50097.152,51218.046,2241.788,Male,85598,2016
13,JOB,Sales,39032.118,37706.517,38369.318,1325.601,Female,129593,2016
14,JOB,Science,81871.438,82509.622,82190.53,-638.184,Male,55501,2016
15,JOB,Science,67624.844,68390.551,68007.698,-765.707,Female,17843,2016
16,JOB,Services,38377.704,36664.077,37520.89,1713.627,Male,59913,2016
17,JOB,Services,28611.045,27813.069,28212.057,797.976,Female,53839,2016
18,JOB,Transport,40949.323,40886.114,40917.718,63.209,Male,50524,2016
19,JOB,Transport,30966.094,31166.488,31066.291,-200.394,Female,7771,2016
0,RACE,Asian,69880.002,65188.325,67534.164,4691.677,Male,30478,2016
1,RACE,Asian,60830.081,57832.496,59331.288,2997.585,Female,25518,2016
2,RACE,Black,44648.933,47417.229,46033.081,-2768.296,Male,40431,2016
3,RACE,Black,38265.211,40668.661,39466.936,-2403.45,Female,46277,2016
4,RACE,Hispanic,41405.444,44975.017,43190.231,-3569.573,Male,78591,2016
5,RACE,Hispanic,32745.608,37103.344,34924.476,-4357.736,Female,53463,2016
6,RACE,Mixed,53892.015,55059.026,54475.52,-1167.011,Male,9284,2016
7,RACE,Mixed,44629.229,45708.081,45168.655,-1078.852,Female,7785,2016
8,RACE,Native,45672.094,47238.808,46455.451,-1566.714,Male,4298,2016
9,RACE,Native,38015.096,38587.124,38301.11,-572.028,Female,4072,2016
10,RACE,White,61531.061,61693.79,61612.426,-162.729,Male,387534,2016
11,RACE,White,48007.293,48648.052,48327.672,-640.759,Female,297124,2016
0,AGE,18-22,25104.624,25260.705,25182.664,-156.081,Male,17014,2016
1,AGE,18-22,23060.718,22875.147,22967.933,185.571,Female,10307,2016
2,AGE,23-28,37595.218,38572.752,38083.985,-977.534,Male,61817,2016
3,AGE,23-28,32242.327,34388.462,33315.395,-2146.135,Female,50933,2016
4,AGE,29-36,51857.409,53715.338,52786.374,-1857.929,Male,101931,2016
5,AGE,29-36,42549.331,45580.473,44064.902,-3031.142,Female,77153,2016
6,AGE,37-45,62331.398,63781.699,63056.549,-1450.301,Male,112966,2016
7,AGE,37-45,48627.253,50595.415,49611.334,-1968.162,Female,86006,2016
8,AGE,46-55,65294.508,65211.724,65253.116,82.784,Male,137521,2016
9,AGE,46-55,50360.609,50478.545,50419.577,-117.936,Female,112594,2016
10,AGE,56-70,64283.96,61870.449,63077.204,2413.511,Male,119367,2016
11,AGE,56-70,50393.596,49049.573,49721.584,1344.023,Female,97246,2016
0,DIV,East North Central,55850.547,56082.839,55966.693,-232.292,Male,83580,2016
1,DIV,East North Central,43304.075,44069.966,43687.02,-765.891,Female,64155,2016
2,DIV,East South Central,52648.067,52522.877,52585.472,125.19,Male,30426,2016
3,DIV,East South Central,39703.136,39879.248,39791.192,-176.112,Female,24636,2016
4,DIV,Middle Atlantic,61850.713,62810.809,62330.761,-960.096,Male,72112,2016
5,DIV,Middle Atlantic,49305.759,51260.385,50283.072,-1954.626,Female,59938,2016
6,DIV,Mountain,54907.086,54448.983,54678.034,458.103,Male,40214,2016
7,DIV,Mountain,43916.015,44045.752,43980.884,-129.737,Female,29500,2016
8,DIV,New England,67264.802,66752.191,67008.497,512.611,Male,26705,2016
9,DIV,New England,53258.605,54648.549,53953.577,-1389.944,Female,22011,2016
10,DIV,Pacific,61312.987,62377.296,61845.142,-1064.309,Male,88406,2016
11,DIV,Pacific,49532.252,52133.149,50832.7,-2600.897,Female,65205,2016
12,DIV,South Atlantic,56517.785,56818.533,56668.159,-300.748,Male,106139,2016
13,DIV,South Atlantic,45989.725,46383.093,46186.409,-393.368,Female,88403,2016
14,DIV,West North Central,52759.78,53688.965,53224.372,-929.185,Male,38859,2016
15,DIV,West North Central,41562.971,42236.278,41899.624,-673.307,Female,30382,2016
16,DIV,West South Central,54964.744,55197.074,55080.909,-232.33,Male,64175,2016
17,DIV,West South Central,42231.693,42822.502,42527.098,-590.809,Female,50009,2016
0,SEX,Male,58976.074,59496.834,59236.454,-520.76,Male,566631,2017
1,SEX,Female,46723.529,47985.33,47354.43,-1261.801,Female,448684,2017
0,EDU,B.S. Degree,73892.738,68939.848,71416.293,4952.89,Male,131096,2017
1,EDU,B.S. Degree,59114.501,55748.867,57431.684,3365.634,Female,119710,2017
2,EDU,Highschool,42551.335,42764.191,42657.763,-212.856,Male,146880,2017
3,EDU,Highschool,32885.253,32996.351,32940.802,-111.098,Female,86654,2017
4,EDU,M.S. Degree,89525.148,78852.333,84188.74,10672.815,Male,52248,2017
5,EDU,M.S. Degree,73684.198,67656.854,70670.526,6027.344,Female,60977,2017
6,EDU,No Highschool,35280.596,33853.697,34567.146,1426.899,Male,43875,2017
7,EDU,No Highschool,27370.286,27600.196,27485.241,-229.91,Female,19080,2017
8,EDU,PhD,107632.615,104209.368,105920.992,3423.247,Male,24346,2017
9,EDU,PhD,89687.917,88309.439,88998.678,1378.478,Female,19251,2017
10,EDU,Some College,51340.892,50880.755,51110.824,460.137,Male,168186,2017
11,EDU,Some College,39604.212,39473.039,39538.625,131.173,Female,143012,2017
0,JOB,Art,63752.166,58008.43,60880.298,5743.736,Male,40708,2017
1,JOB,Art,54473.035,49916.572,52194.804,4556.463,Female,74335,2017
2,JOB,Business,83033.9,81272.028,82152.964,1761.872,Male,104895,2017
3,JOB,Business,66175.391,65198.69,65687.04,976.701,Female,88888,2017
4,JOB,Healthcare,87872.758,69345.541,78609.15,18527.217,Male,16600,2017
5,JOB,Healthcare,74203.364,61560.461,67881.912,12642.903,Female,49647,2017
6,JOB,Maintenance,45470.927,45278.719,45374.823,192.208,Male,90196,2017
